source,target
"В России есть традиция отмечать юбилеи свадьбы, особенно 25 и 50 лет совместной жизни. ",В России есть традиция отмечать юбилеи свадьбы: 25 лет (серебряная свадьба) и 50 лет (золотая свадьба). 
"и Я помню, я горжусь!.","Я помню, я горжусь!."
"В настоящее время Эрмитаж состоит из нескольких музейных отделов: первобытной культуры, античного мира, культуры народов Востока, Византии и Средневековья и др. ","Сегодня Эрмитаж состоит из нескольких музейных отделов: первобытной культуры, античного мира, культуры народов Востока, Византии и Средневековья и др."
Для Малого театра и выдающегося русского актёра Михаила Щепкина писал свои пьесы И.С. ,Для Малого театра и великого русского актёра Михаила Щепкина писал свои пьесы И.С. 
Крылов начал заниматься переводами на русский язык басен Лафонтена. ,сделал переводы на русский язык басен Лафонтена и сам начал сочинять басни.
В 2013 г. была открыта новая сцена театра.,В 2013 г. открылась вторая сцена театра.
"В июне 1812 года полумиллионная армия Наполеона, возглавляемая императором Франции, перешла русскую границу. ",В июне 1812 года  армия  Наполеона перешла  границу России. 
Символом праздничного рождественского стола были жареный поросёнок (см. свинья) или гусь с яблоками (см. яблоко).,Символом праздничного рождественского стола были рождественский поросёнок (см. свинья) и гусь с яблоками (см. яблоко).
"Другое, более старое, название варежек − рукавицы. ","Другое, более старое название варежек – рукавицы, от слова рука."
Ровно в полночь начинается собственно встреча Нового года: звучит транслируемый радио и телевидением бой Кремлëвских курантов. ,Ровно в полночь звучит бой часов – Кремлëвских курантов. 
В ХIХ в. появились специальные ëлочные игрушки. ,В ХIХ в. появились специальные ëлочные игрушки. 
Строки припева песни Пусть всегда будет солнце! ,Строки припева песни Пусть всегда будет солнце! 
"Размеры 62×48,5 см.","Размеры 62×48,5 см."
"Создана в 1887 г., находится в Третьяковской галерее (см. ","Создана в 1887 г., находится в Третьяковской галерее (см. "
"Тимофеевского), в которой есть слова «К сожаленью, день рожденья только раз в году», или известную во всем мире «Happy birthday to you», которую поют по−английски.","Гости приходят с подарками и цветами и могут спеть имениннику песню о дне рождения из мультфильма «Чебурашка» или «Happy birthday to you», желают здоровья, счастья, успехов."
 На праздник к нам пришла, На праздник к нам пришла
В разговорной речи праздник называют просто Девятое мая. ,В разговорной речи праздник называют просто Девятое мая. 
«Девятый вал» – одно из самых драматичных произведений Айвазовского.,«Девятый вал» – одно из самых драматичных произведений Айвазовского.
"Там появилась резиденция Деда Мороза, туда под Новый год дети пишут письма с просьбами о подарках.",Туда под Новый год дети пишут письма с просьбами о подарках.
"Заключение брака в России проводится государственными органами – отделами записи актов гражданского состояния, в разговорной речи загсами. ",Регистрацию брака в России проводит государственный орган – отдел записи актов гражданского состояния (загс).
"Их объявляют мужем и женой, новой семьёй. ","обменяться золотыми кольцами и объявляет их мужем и женой, новой семьёй."
Классический зрительный образ Бабы-Яги создан знаменитыми русскими художниками-иллюстраторами: И.Я. ,Классический образ Бабы-Яги создали знаменитые русские художники-иллюстраторы: И.Я. 
"В больших городах вечером включалась праздничная иллюминация и гремел праздничный салют. 1 Мая праздновали и в семьях, как многие другие государственные праздники. ",В больших городах вечером гремел праздничный салют. 
Центральной улицей города является Невский проспект (от названия реки Невы). ,Центральная улица города – Невский проспект.
Современный детский литературный журнал называется «Весёлый Колобок».,Современный детский литературный журнал называется «Весёлый колобок».
"Художник изобразил небольшую молодую берëзовую (см. берëза) рощу на берегах реки в яркий солнечный день, когда жëлтые и красные листья деревьев кажутся золотыми. ","Художник изобразил небольшую молодую берëзовую (см. берëза) рощу на берегах реки в яркий солнечный день, когда жëлтые и красные листья деревьев кажутся золотыми (см. золото). "
"Онегин – представитель дворянской (см. дворянин) молодёжи 20-х годов ХIХ в. с характерным для неё критическим отношением к высшему свету, равнодушием к карьере, чувством личной независимости. ","Он критически относится к высшему обществу, равнодушен к карьере, не зависит ни от кого. "
В основе сюжета лежит история любви Евгения Онегина и Татьяны Лариной. ,В основе сюжета лежит история любви Евгения Онегина и 
"Он жил в Екатеринославе, в Кишинёве, на Кавказе и в Крыму. ","Четыре года (1820-1824) Пушкин жил и работал в Крыму, в Одессе, в Кишиневе,  "
"Белинским, первый роман Достоевского − «Бедные люди», построенный в виде писем, которыми обмениваются герои. ",В 1846 г. вышел первый роман Достоевского – «Бедные люди». 
В 1827 г. вместе с семьёй переехал в Москву. ,В 1827 г. вместе с семьёй переехал в Москву. 
Снегурочка появляется только перед Новым годом. ,Снегурочка появляется только перед Новым годом. 
"В центре находится икона Богоматери Знамения, на ней Дева Мария изображена в молитвенной позе с поднятыми вверх руками (см. ",В центре находится икона Богоматери Знамения (см. 
"Данелия 1963 г., «Живет такой парень» В.М. ","Хуциева 1964 г., «Живёт такой парень» В.М. "
Драмы и комедии Островского обязательно присутствуют в репертуаре театра и в наше время. ,Драмы и комедии Островского обязательно присутствуют в репертуаре театра и в наше время. 
"Это преимущественно семейный праздник, хотя многие молодые люди предпочитают встречать его в кругу друзей. ","Это преимущественно семейный праздник, хотя многие молодые люди предпочитают встречать его в кругу друзей. "
Тогда же его стала сопровождать Снегурочка. ,Тогда же его стала сопровождать Снегурочка. 
"Поморы жили в основном традиционными промыслами – это ловля рыбы и добыча морского зверя, а также солеварение (см. соль), резьба по кости, добыча жемчуга. ","Поморы жили в основном традиционными промыслами – это ловля рыбы и добыча морского зверя, а также солеварение (см. соль), резьба по кости, добыча жемчуга. "
"Официальное признание в СССР пришло к Высоцкому после смерти: в 1981 г. вышел первый поэтический сборник «Нерв», потом двухтомник, в 1987 г. во время перестройки ему была присуждена Государственная премия СССР «за создание образа Жеглова в телевизионном художественном фильме «Место встречи изменить нельзя» и авторское исполнение песен», в том же году был разрешён спектакль Театра на Таганке «Владимир Высоцкий», посвящëнный памяти актёра и поставленный главным режиссёром Ю.П. ","Официальное признание в СССР пришло к Высоцкому после смерти: в 1981 г. вышел первый поэтический сборник «Нерв», потом двухтомник, в 1987 г. во время перестройки ему была присуждена Государственная премия СССР «за создание образа Жеглова в телевизионном художественном фильме «Место встречи изменить нельзя» и авторское исполнение песен», в том же году был разрешён спектакль Театра на Таганке «Владимир Высоцкий», посвящëнный памяти актёра; в 1989 г. создан Государственный культурный центр-музей Высоцкого; в 1990-х гг. вышло пятитомное собрание сочинений и полное собрание записей песен."
Действие комедии происходит в Москве в 20-е гг. ,Действие комедии происходит в Москве в 20-е гг. 
За этот подвиг городу было присвоено почётное звание города-героя.,За этот подвиг городу было присвоено почётное звание города-героя.
"Начало ХХI в. в Большом театре связано с обновлением репертуара, приглашением для постановок знаменитых театральных режиссёров и балетмейстеров разных стран, а также с работой ведущих солистов труппы на сценах зарубежных театров.","Начало ХХI в. в Большом театре связано с новым репертуаром, приглашением знаменитых театральных режиссёров и балетмейстеров разных стран, а также с работой ведущих солистов труппы на сценах зарубежных театров."
В послевоенное время на Пискарёвском кладбище сооружён мемориал жертвам блокады (авторы Е.А. ,В послевоенное время на Пискарёвском кладбище сооружён мемориал жертвам блокады (авторы Е.А. 
"Человек, владеющий собственной дачей, – дачевладелец (ж. р. дачевладелица).","Человек, владеющий собственной дачей, – дачевладелец (ж. р. дачевладелица)."
Одна из лучших инсценировок поэмы была сделана М.А. ,Одну из лучших инсценировок поэмы сделал М. 
Булгаков создал в романе и один из прекрасных женских образов русской литературы. ,Булгаков создал в романе и один из прекрасных женских образов русской литературы. 
На рубеже XIX-XX вв. спектакли театра оформляли известные русские художники К.А. ,На рубеже XIX-XX вв. спектакли театра оформляли известные русские художники К.А. 
Армейская тема – главная в творчестве Студии военных художников имени М.Б. ,Армейская тема − главная в творчестве Студии военных художников имени М.Б. 
"Чебурашка стал одной из любимых детских игрушек не только в России, но и за её пределами. ","Чебурашка стал одной из любимых детских игрушек не только в России, но и за рубежом."
Сокольники» (1879 г.) уже говорила о ярком своеобразии его ощущения единства природы и души человека.,Сокольники» (1879 г.) уже говорила о ярком своеобразии его ощущения единства природы и души человека.
С именем Менделеева иногда связывают определение идеального (40 %) содержания спирта в классической русской водке. ,С именем Менделеева иногда связывают определение идеального (40 %) содержания спирта в классической русской водке. 
"В шестиконечном кресте, кроме большой поперечной перекладины, есть меньшая перекладина вверху (на которой была надпись «Иисус Назарянин, Царь Иудейский»). ","В шестиконечном кресте, кроме большой поперечной перекладины, есть меньшая перекладина вверху, а в восьмиконечном кресте небольшая перекладина еще внизу. "
"Идейное направление журнала «Время» было продолжено в другом издававшемся Достоевским журнале «Эпоха» (1864-1865 гг.) и в произведениях 60-х гг.: в 1864 г. вышла повесть «Записки из подполья», героем которой стал бедный чиновник, страдающий раздвоением личности, поставленный перед необходимостью сделать выбор между добром и злом; в 1866 г. − роман «Преступление и наказание», в котором писатель рассматривал вопрос о праве человека на убийство.","В 1864 г. вышла повесть «Записки из подполья», героем которой стал бедный чиновник, поставленный перед необходимостью сделать выбор между добром и злом; в 1866 г. − роман «Преступление и наказание», в котором писатель рассматривает вопрос о праве человека на убийство."
"Мастера, писавшие фрески и иконы, назывались иконописцами. ","Оттуда приехали в Киев и первые иконописцы – мастера, которые писали иконы и фрески (роспись на стенах храма)."
"Во время её полета воют ветры, стонет земля, скот ревёт, трещат и гнутся вековые деревья. ","Во время её полета воют ветры, стонет земля, скот ревёт, трещат и гнутся деревья. "
"В этот период Пушкин отошёл от романтического мировосприятия, изображения исключительной личности. ",В этот период Пушкин отошёл от романтической поэзии. 
По одной из версий здесь в Печерском монастыре (основан в 1328-1330 гг.) в 1377 г. монах Лаврентий написал древнейшую сохранившуюся пергаментную «Лаврентьевскую летопись» (см. летопись).,По одной из версий здесь в Печерском монастыре (основан в 1328-1330 гг.) в 1377 г. монах Лаврентий написал древнейшую сохранившуюся пергаментную «Лаврентьевскую летопись» (см. летопись).
"Рождество Христово), на котором девочке Маше подарили Щелкунчика – некрасивого человечка, игрушку-щипцы для раскалывания орехов. ","Рождество Христово), на котором девочке Маше подарили Щелкунчика – некрасивого человечка, игрушку-щипцы для орехов. "
Многие постановки театра оформлял художник Д.Л. ,Многие постановки театра оформлял художник Д.Л. 
"Стали крылатыми словами многие высказывания авторов и героев романа, например: Лёд тронулся, господа присяжные заседатели! ","Стали крылатыми словами многие высказывания авторов и героев романа, например: Лёд тронулся, господа присяжные заседатели! "
Библиотека основана 1 июля 1862 г. ,Библиотека основана 1 июля 1862 г. 
С мешком подарков до сих пор приходит к детям на Новый год Дед Мороз.,С мешком подарков до сих пор на Новый год к детям приходит Дед Мороз.
"Это пагубно сказывалось на  жизни всей  страны и жизни отдельного человека, лишённого на практике многих прав и свобод, декларированных Конституцией. ","Это пагубно сказывалось на  жизни всей  страны и жизни отдельного человека, лишённого на практике многих прав и свобод, декларированных Конституцией. "
"Много диких уток, гусей, журавлей (см. журавль) и речной рыбы – лещ, щука, карась, осётр и др.","Много диких уток, гусей, журавлей (см. журавль) и речной рыбы – лещ, щука, карась, осётр и др."
"Казань), а в 1556 г. ","Казань), а в 1556 г. "
"Клейном в стиле неоклассицизма, является памятником архитектуры. ",Клейном и является памятником архитектуры. 
Самого писателя называют буревестником революции.,Самого писателя называют буревестником революции.
После окончания училища служил военным лётчиком на Северном флоте. ,После окончания училища служил военным лётчиком на Северном флоте. 
"В свою очередь, Великобритания и Франция объявили войну Германии. ","В свою очередь, Великобритания и Франция объявили войну Германии. "
Достоевскому работы скульптора А.И. ,Достоевскому работы скульптора А.И. 
"Среди людей, рожденных в годы советской власти, большинство было некрещеными. ","Среди людей, рожденных в годы советской власти, большинство было некрещеными. "
Курс на перестройку поддержало большинство граждан СССР. ,Курс на перестройку поддержало большинство граждан СССР. 
Чаще всего это фамилии представителей нерусских и неславянских народов России. ,Чаще всего это фамилии представителей нерусских и неславянских народов России. 
Ургант прозвучала «Песня десятого десантного батальона» Б. ,Ургант прозвучала «Песня десятого десантного батальона» Б. 
За победу на Куликовом поле великий князь московский Дмитрий Иванович был прозван Донским (см. ,За победу на Куликовом поле великий князь московский Дмитрий Иванович был прозван Донским (см. 
Репину (1896 г.) и Вал.А. ,Репину (1896 г.) и Вал.А. 
Крупнейшее сражение Отечественной войны 1812 года между русской армией под командованием генерала М.И. ,Крупнейшее сражение Отечественной войны 1812 года между русской армией под командованием генерала М.И. 
"В результате победы над шведами в Северной войне Россия, наконец, получила выход к Балтийскому морю. ",В результате победы над шведами в Северной войне Россия получила выход к Балтийскому морю. 
На Арбате находится Театр им. ,На Арбате находится Театр им. 
"Росси, театр работает с 1832 г. – именно тогда театр стал называться Александринским – в честь супруги императора Николая I Александры Фёдоровны. ","Росси, театр работает с 1832 г. "
Сурикова «Утро стрелецкой казни» (1881 г.). ,Сурикова «Утро стрелецкой казни» (1881 г.). 
После сражения под Смоленском к своему княжескому титулу он получил прибавление Смоленский.,После сражения под Смоленском к своему княжескому титулу он получил прибавление Смоленский.
Зрительный образ Незнайки был создан художниками А.М. ,Зрительный образ Незнайки был создан художниками А.М. 
Кившенко на картине «Военный совет в Филях в 1812 году» (1880 г.). ,Кившенко на картине «Военный совет в Филях в 1812 году» (1880 г.). 
"Корин создал триптих «Александр Невский», где образ русского князя-воина символизирует борьбу народа за свободу своей земли.","Корин создал триптих «Александр Невский», где образ русского князя-воина символизирует борьбу народа за свободу своей земли."
"Названием фильма стала часть русской пословицы Москва слезам не верит, ей дело подавай.","Названием фильма стала часть русской пословицы Москва слезам не верит, ей дело подавай."
"Там он знакомится с соседями: с молодым поэтом Владимиром Ленским и с семейством Лариных – вдовой и её двумя дочерьми, Татьяной и Ольгой. ","Онегин знакомится с соседями: с молодым поэтом Владимиром Ленским и с семьёй Лариных – вдовой и её двумя дочерьми, Татьяной и Ольгой. "
У каждого из них своя история и свой характер. ,У каждого из них своя история и свой характер. 
Под этим выражением обычно подразумевается любой человек европейской внешности со смуглым цветом лица и тёмными волосами. ,Под этим выражением обычно подразумевается любой человек европейской внешности со смуглым цветом лица и тёмными волосами. 
Тяжелые природно-климатические условия жизни были причиной слабости крестьянских (см. крестьянин) хозяйств. ,Тяжелые природно-климатические условия жизни были причиной слабости крестьянских (см. крестьянин) хозяйств. 
Разговорное название Государственного музея изобразительных искусств им. ,Разговорное название Государственного музея изобразительных искусств им. 
На одном из самых известных пейзажей в творчестве Шишкина изображён густой непроходимый лес средней полосы России. ,На одном из самых известных пейзажей в творчестве Шишкина изображён густой непроходимый лес средней полосы России. 
"Демьяненко), способный найти выход из самых трудных ситуаций. ","Демьяненко), способный найти выход из самых трудных ситуаций. "
"Верещагин (Храм Христа Спасителя в Москве), М.В. ","Верещагин,  М.В. "
"Старый Новый год празднуется тише, часто в кругу друзей. ","Старый Новый год празднуется тише, часто в кругу друзей. "
Таривердиева в исполнении Иосифа Кобзона.,Таривердиева в исполнении Иосифа Кобзона.
Трагическая история талантливого тульского оружейника интерпретировалась в разных видах искусства. ,Трагическая история талантливого тульского оружейника имеет интерпретации в разных видах искусства. 
«Берëзка» − название одного из знаменитых ансамблей народного танца в России.,«Берëзка» − название одного из знаменитых ансамблей народного танца в России.
Пересмотр роли Ленина в истории России начался в годы перестройки. ,Пересмотр роли Ленина в истории России начался в годы перестройки. 
"Его основу составляют события, происходящие по воле джинна Гассана Абдурахмана ибн Хоттаба, выпущенного на волю из старинного кувшина советским пионером Волькой Костыльковым. ","Его основу составляют приключения пионера Вольки Костылькова и джинна Гассана Абдурахмана ибн Хоттаба, которого Волька случайно выпустил на волю из старинного кувшина. "
"Незнайкой могут в шутку назвать человека, который ничего не знает, или недобросовестного школьника.","Незнайкой могут в шутку назвать человека, который ничего не знает, или школьника, который плохо учится."
Сам актер считал её лучшей из своих киноработ.,Сам актер считал её лучшей из своих киноработ.
Храм состоит из трех основных частей. ,Храм состоит из трех основных частей. 
"В некоторых сказках у Бабы-Яги одна нога костяная, поэтому её называют Баба-Яга – костяная нога. ","В некоторых сказках у Бабы-Яги одна нога костяная, поэтому её называют Баба-Яга – костяная нога."
"Жители называются петербуржцы (он – петербуржец, она – петербурженка).","Жители  города называются петербуржцы (он  –  петербуржец, она  –  петербурженка)."
"Мужчины к нему готовятся заранее: покупают подарки, готовят сюрпризы. ","Мужчины к нему готовятся заранее: покупают подарки, готовят сюрпризы. "
"Среди лент, снятых уже в XXI в., широко известны «Мы из будущего» А.И. ","Среди лент, снятых уже в XXI в., широко известны: «Мы из будущего» А.И. "
"Праздники приходятся на момент зимнего солнцестояния и осмысляются как пограничный период между старым и новым хозяйственным годом, кроме того, со Святками связаны представления о том, что в эти дни Бог, радуясь рождению сына, выпускает с «того света» и души умерших, и нечистую силу. ","Со Святками связаны представления о том, что в эти дни Бог, радуясь рождению сына, выпускает с «того света» и души умерших, и нечистую силу. "
"Сталин ещё при жизни стал персонажем политических анекдотов, количество которых особенно возросло после его смерти. ",Сталин ещё при жизни стал персонажем политических анекдотов. 
"Пословицу С миру по нитке – голому рубашка употребляют, когда хотят сказать, что общими усилиями можно помочь человеку в беде. ","Пословицу С миру по нитке – голому рубашка употребляют, когда хотят сказать, что общими усилиями можно помочь человеку в беде. "
Среди самых известных картин с изображением поля – «Рожь» И.И. ,Среди самых известных картин с изображением поля – «Рожь» И.И. 
"Период реформ и преобразований в общественно-политической, экономической, научной и культурной жизни Советского Союза (1985-1991 гг.).","Период реформ в общественно-политической, экономической, научной и культурной жизни Советского Союза (1985-1991 гг.)."
Дмитрий Иванович Менделеев родился в 1834 г. в Сибири в семье директора гимназии города Тобольска. ,Дмитрий Иванович Менделеев родился в 1834 г. в Сибири в семье директора гимназии города Тобольска. 
Майскими праздниками называют Праздник Весны и Труда − 1 Мая и День Победы − 9 Мая. ,Майскими праздниками называют Праздник Весны и Труда − 1 Мая и День Победы − 9 Мая. 
Крюков (1950 г.) и Д.Д. ,Крюков (1950 г.) и Д.Д. 
Начало литературной деятельности Даля относится к 1830 г. ,Начало литературной деятельности Даля относится к 1830 г. 
"Эллингтон написал сюиту «Щелкунчик из Гарлема», которая стала популярна в последние десятилетия.",Эллингтон написал сюиту «Щелкунчик из Гарлема.
"Новая экономическая политика ориентировалась на широкое использование рыночных отношений, допускала развитие капитализма при сохранении строгого государственного контроля. ","Новая экономическая политика ориентировалась на широкое использование рыночных отношений, допускала развитие капитализма при сохранении строгого государственного контроля: разрешалась частная торговля, аренда земли и предприятий, наём рабочей силы, концессии и т.д."
Покрассов на слова В.И. ,Покрассов на слова В.И. 
"В ставшем вскоре знаменитым фильме «Тёмная ночь» песня прозвучала в исполнении популярного актера и певца Марка Бернеса, сыгравшего одну из главных ролей. ","В ставшем вскоре знаменитым фильме «Тёмная ночь» песня прозвучала в исполнении популярного актера и певца Марка Бернеса, сыгравшего одну из главных ролей. "
Толстого «Царь Фёдор Иоаннович» новый Московский художественный театр (см. ,Толстого «Царь Фёдор Иоаннович» новый Московский художественный театр (см. 
"Атаман Платов, увозя Левшу в Англию по приказу Александра I, швыряет мастера «к себе в коляску в ноги». ","Атаман Платов увозит Левшу в Англию по приказу императора Александра I, но плохо обращается с ним. "
"Родился в рубашке говорят об удачливом, счастливом человеке (это связано с тем, что рубашкой называется и оболочка плода в утробе матери); остаться в одной рубашке значит «разориться, дойти до нищеты». ","Родился в рубашке говорят об удачливом, счастливом человеке; остаться в одной рубашке значит «разориться, дойти до нищеты». "
"В них он предстает как умный, хитрый и жестокий соперник своих политических оппонентов. ","В них он – умный, хитрый и жестокий соперник своих политических оппонентов."
Наиболее известные портреты Николая I созданы художниками Дж. ,Наиболее известные портреты Николая I созданы художниками Дж. 
Это элемент якоря – одного из символов раннего христианства. ,"Это элемент якоря, который тоже является символом раннего христианства. "
Булгакова «Иван Васильевич» (1835 г.).,Булгакова «Иван Васильевич» (1835 г.).
"Сказка представляет собой рассказ мальчика-грязнули, который был наказан Мойдодыром, но прощён после того, как тот умылся и привёл себя в порядок.","Сказка представляет собой рассказ мальчика-грязнули, который был наказан Мойдодыром, но прощён после того, как тот умылся и привёл себя в порядок."
"Главный герой фильма стал символом смелости, находчивости и русского народного остроумия. ","Главный герой фильма стал символом смелости, находчивости и русского народного остроумия. "
"Евтушенко «Наследники Сталина», поэма А.А. ","Евтушенко «Наследники Сталина», поэма А.А. "
"В XVI-XVII вв. в России существовали и земские (то есть государственные, всей земли) соборы – собрания представителей различных слоёв населения для обсуждения важнейших вопросов жизни страны. ","В XVI-XVII вв. в России существовали и земские (то есть государственные, всей земли) соборы – собрания представителей различных слоёв населения для обсуждения важнейших вопросов жизни страны. "
"В последующие годы: Киев, Москва, Керчь, Новороссийск, Минск, Тула, Мурманск, Смоленск, Брестская крепость (крепость-герой).","В последующие годы: Киев, Москва, Керчь, Новороссийск, Минск, Тула, Мурманск, Смоленск, Брестская крепость (крепость-герой)."
"Гимнастерка шилась из плотной ткани цвета хаки, с прямым стоячим воротником; оставалась военной форменной одеждой до 1969 г.",Гимнастерка оставалась военной форменной одеждой до 1969 г.
"Мусоргского, «Сказка о царе Салтане» и «Золотой петушок» Н.А. ","Мусоргского, «Сказка о царе Салтане» и «Золотой петушок» Н.А. "
"Чацкий проповедует свободолюбивые идеи, заявляет о необходимости самостоятельности мнений и суждений, в то время как в обществе считается невозможным «сметь своё суждение иметь»; он возмущëн тем, что общество преклоняется перед всем иностранным, презирая родной язык, и говорит на смеси «французского с нижегородским» (от названия русского города Нижний Новгород). ","Чацкий проповедует свободолюбивые идеи, заявляет о необходимости самостоятельности мнений и суждений, в то время как в обществе считается невозможным «сметь своë суждение иметь»; он возмущëн тем, что общество преклоняется перед всем иностранным, презирая родной язык, и говорит на смеси «французского с нижегородским» (от названия русского города Нижний Новгород). "
